Accelerometer sample rate = 119.00 Hz
Gyroscope sample rate = 119.00 Hz

aX:-0.974,aY:-0.017,aZ:-0.255,gX:-2.136,gY:-1.831,gZ:1.038
aX:-0.974,aY:-0.018,aZ:-0.254,gX:-2.502,gY:-1.221,gZ:0.854
aX:-0.973,aY:-0.016,aZ:-0.254,gX:-2.808,gY:-1.160,gZ:0.671
aX:-0.972,aY:-0.010,aZ:-0.256,gX:-2.197,gY:-1.099,gZ:0.366
aX:-0.973,aY:-0.008,aZ:-0.251,gX:-1.953,gY:-1.404,gZ:0.244
aX:-0.971,aY:-0.003,aZ:-0.251,gX:-2.197,gY:-1.831,gZ:0.000
aX:-0.970,aY:0.000,aZ:-0.253,gX:-1.831,gY:-2.014,gZ:0.183
aX:-0.974,aY:-0.001,aZ:-0.260,gX:-1.465,gY:-2.075,gZ:0.488
aX:-0.971,aY:-0.002,aZ:-0.259,gX:-1.465,gY:-1.465,gZ:0.854
aX:-0.968,aY:-0.006,aZ:-0.255,gX:-0.732,gY:-0.916,gZ:0.916
aX:-0.968,aY:-0.011,aZ:-0.253,gX:-0.854,gY:-1.099,gZ:0.854
aX:-0.969,aY:-0.015,aZ:-0.255,gX:-1.587,gY:-1.343,gZ:0.854
aX:-0.973,aY:-0.016,aZ:-0.260,gX:-1.831,gY:-1.282,gZ:0.732
aX:-0.974,aY:-0.011,aZ:-0.263,gX:-1.648,gY:-1.221,gZ:0.671
aX:-0.974,aY:-0.006,aZ:-0.262,gX:-1.709,gY:-1.343,gZ:0.610
aX:-0.970,aY:-0.003,aZ:-0.264,gX:-1.404,gY:-1.587,gZ:0.671
aX:-0.965,aY:-0.006,aZ:-0.266,gX:-1.404,gY:-1.831,gZ:0.977
aX:-0.967,aY:-0.009,aZ:-0.263,gX:-2.319,gY:-2.197,gZ:0.793
aX:-0.970,aY:-0.012,aZ:-0.264,gX:-1.892,gY:-1.953,gZ:0.916
aX:-0.969,aY:-0.011,aZ:-0.262,gX:-1.648,gY:-1.221,gZ:0.488
aX:-0.969,aY:-0.008,aZ:-0.261,gX:-2.197,gY:-1.526,gZ:0.183
aX:-0.973,aY:-0.003,aZ:-0.261,gX:-1.587,gY:-1.160,gZ:0.000
aX:-0.969,aY:-0.001,aZ:-0.262,gX:-1.343,gY:-1.404,gZ:0.244
aX:-0.966,aY:-0.002,aZ:-0.263,gX:-1.648,gY:-1.648,gZ:0.244
aX:-0.965,aY:-0.004,aZ:-0.260,gX:-1.404,gY:-1.770,gZ:0.366
aX:-0.968,aY:-0.004,aZ:-0.258,gX:-1.526,gY:-2.319,gZ:0.671
aX:-0.970,aY:-0.005,aZ:-0.258,gX:-1.648,gY:-2.991,gZ:0.916
aX:-0.973,aY:-0.004,aZ:-0.263,gX:-1.526,gY:-3.784,gZ:0.732
aX:-0.970,aY:-0.002,aZ:-0.271,gX:-1.282,gY:-3.784,gZ:0.488
aX:-0.968,aY:-0.006,aZ:-0.280,gX:-0.732,gY:-3.296,gZ:0.488
aX:-0.968,aY:-0.010,aZ:-0.278,gX:0.061,gY:-2.136,gZ:0.793
aX:-0.971,aY:-0.012,aZ:-0.277,gX:0.305,gY:-1.160,gZ:0.916
aX:-0.972,aY:-0.012,aZ:-0.277,gX:0.244,gY:0.000,gZ:0.732
aX:-0.971,aY:-0.010,aZ:-0.274,gX:0.427,gY:1.160,gZ:0.549
aX:-0.968,aY:-0.009,aZ:-0.273,gX:0.305,gY:1.221,gZ:0.671
aX:-0.965,aY:-0.010,aZ:-0.272,gX:-0.488,gY:1.221,gZ:0.427
aX:-0.966,aY:-0.013,aZ:-0.269,gX:-0.732,gY:1.404,gZ:0.549
aX:-0.964,aY:-0.010,aZ:-0.272,gX:-0.793,gY:1.160,gZ:0.610
aX:-0.965,aY:-0.008,aZ:-0.274,gX:-0.977,gY:1.099,gZ:0.549
aX:-0.970,aY:-0.010,aZ:-0.274,gX:-0.671,gY:0.610,gZ:0.732
aX:-0.972,aY:-0.013,aZ:-0.274,gX:-0.916,gY:0.305,gZ:0.732
aX:-0.970,aY:-0.013,aZ:-0.270,gX:-1.770,gY:0.000,gZ:0.671
aX:-0.964,aY:-0.011,aZ:-0.267,gX:-2.014,gY:0.366,gZ:0.488
aX:-0.954,aY:-0.006,aZ:-0.267,gX:-1.831,gY:-0.061,gZ:0.366
aX:-0.956,aY:-0.003,aZ:-0.270,gX:-2.014,gY:-0.671,gZ:0.549
aX:-0.968,aY:-0.005,aZ:-0.277,gX:-1.709,gY:-0.854,gZ:1.099
aX:-0.978,aY:-0.009,aZ:-0.274,gX:-1.404,gY:-0.793,gZ:1.282
aX:-0.974,aY:-0.013,aZ:-0.272,gX:-1.404,gY:-0.427,gZ:1.099
aX:-0.968,aY:-0.014,aZ:-0.275,gX:-1.404,gY:0.000,gZ:0.732
aX:-0.962,aY:-0.012,aZ:-0.274,gX:-0.977,gY:0.671,gZ:0.549
aX:-0.966,aY:-0.014,aZ:-0.272,gX:-0.610,gY:0.793,gZ:0.488
aX:-0.973,aY:-0.012,aZ:-0.274,gX:-0.427,gY:0.549,gZ:0.671
aX:-0.972,aY:-0.009,aZ:-0.271,gX:-0.366,gY:0.793,gZ:0.854
aX:-0.966,aY:-0.008,aZ:-0.270,gX:-0.366,gY:0.427,gZ:1.099
aX:-0.966,aY:-0.011,aZ:-0.270,gX:-0.793,gY:0.061,gZ:0.854
aX:-0.967,aY:-0.014,aZ:-0.267,gX:-0.793,gY:-0.061,gZ:0.732
aX:-0.966,aY:-0.010,aZ:-0.267,gX:-0.854,gY:-0.244,gZ:0.793
